t,u,v,r,X,Y,Z
22.077560424804688,279,373,157.94,-3.2449031277700393,-7.017432780380735,27.052852348993287
53.97486686706543,289,376,161.23,-2.4033988711778207,-7.029295623229754,26.50082180735595
84.76996421813965,291,376,161.62,-2.242915480757332,-7.012333457080394,26.43687353050365
118.71933937072754,292,376,161.53,-2.1667801646752927,-7.0162405332342805,26.45160341732186
148.8351821899414,293,376,161.51,-2.0896538913999136,-7.01710936371329,26.454878954863478
183.17365646362305,293,376,161.56,-2.0890071799950483,-7.014937690847569,26.446691631591978
214.09130096435547,295,376,161.24,-1.9381046886628628,-7.028859670883981,26.499178243612004
249.4971752166748,295,376,161.14,-1.9393074345289814,-7.033221629225105,26.51562306069257
278.3045768737793,295,376,160.88,-1.9424415713575338,-7.044588098789989,26.55847526106415
325.6251811981201,294,376,160.76,-2.021647175914407,-7.049846562163059,26.578299950236378
359.16948318481445,294,376,160.72,-2.022150323544052,-7.05160112825618,26.58491475858636
390.32936096191406,292,376,161.3,-2.1698698078115313,-7.026245091961148,26.489321140731555
422.5592613220215,292,376,160.94,-2.1747234994407854,-7.041961807713019,26.54857400273394
454.132080078125,290,377,159.98,-2.3440430053756725,-7.136308705254824,26.707885360670087
487.1675968170166,289,377,159.99,-2.4220263766485406,-7.135862658082796,26.706216013500843
517.7879333496094,289,377,159.97,-2.4223291867225107,-7.136754808193203,26.709554916546853
551.8946647644043,289,378,159.81,-2.424754395845066,-7.19604530379826,26.736296226769287
582.3488235473633,288,377,160.8,-2.4875621890547266,-7.099917081260365,26.57168843283582
616.4748668670654,288,378,160.97,-2.484935081071007,-7.144188358079145,26.543626141517052
648.9932537078857,288,378,160.87,-2.486479766270902,-7.148629328028843,26.560126188848137
679.8970699310303,288,378,160.88,-2.4863252113376433,-7.148184982595724,26.55847526106415
726.020336151123,288,378,160.94,-2.4853982850751835,-7.145520069591152,26.54857400273394
760.8771324157715,288,378,160.89,-2.4861706756168815,-7.147740692398534,26.55682453850457
790.5154228210449,287,378,160.66,-2.5675339225694014,-7.157973359890451,26.594843147018548
823.2309818267822,288,378,160.65,-2.4898848428260196,-7.158418923124805,26.596498599439776
855.1185131072998,288,378,160.91,-2.485861661798521,-7.146852277670748,26.5535237089056
885.2641582489014,288,378,160.85,-2.486788933789245,-7.149518184644078,26.56342866024246
917.7086353302002,288,378,160.85,-2.486788933789245,-7.149518184644078,26.56342866024246
951.9834518432617,289,378,160.98,-2.4071313206609517,-7.143744564542179,26.54197726425643
985.323429107666,290,378,160.38,-2.3381967826412273,-7.1704701334330965,26.641273849607185
1016.9134140014648,291,378,160.55,-2.2578635938959826,-7.162877608221737,26.61306446589847
1050.2729415893555,291,378,160.64,-2.2565986055776897,-7.15886454183267,26.59815425796813
1079.0128707885742,291,378,160.76,-2.2549141577506844,-7.153520776312516,26.578299950236378
1122.9948997497559,291,378,160.83,-2.2539327239942795,-7.15040726232668,26.56673195299384
1157.9475402832031,292,378,160.94,-2.1747234994407854,-7.145520069591152,26.54857400273394
1189.6297931671143,292,378,160.99,-2.174048077520343,-7.14330082613827,26.540328591838
1223.7019538879395,292,378,161.04,-2.1733730750124196,-7.141082960755092,26.53208830104322
