t,u0,v0,u1,v1,u2,v2,u3,v3
31.61764144897461,467,296,515,296,469,186,516,193
63.18402290344238,463,296,512,296,463,187,424,296
95.52121162414551,462,296,511,295,511,193,422,297
144.6702480316162,462,296,512,193,462,187,425,183
175.16636848449707,462,296,464,187,421,297,510,295
208.27078819274902,459,297,460,186,424,182,509,193
239.53628540039062,455,297,455,187,505,192,504,296
272.3698616027832,500,296,450,188,501,193,415,184
303.1342029571533,450,297,450,188,497,193,410,184
334.836483001709,448,298,448,188,496,193,496,295
367.5253391265869,447,298,495,192,495,295,406,300
400.1328945159912,445,298,493,192,493,295,446,189
431.1642646789551,443,298,489,192,443,189,401,185
478.9726734161377,439,298,487,193,488,296,394,301
511.8706226348877,436,299,484,193,486,297,434,189
544.1246032714844,483,296,481,192,436,189,372,185
575.6218433380127,480,296,480,192,432,299,372,304
607.8581809997559,481,296,478,192,432,299,430,190
641.1073207855225,481,296,479,193,433,299,432,190
671.2076663970947,482,297,480,193,433,190,369,186
712.6359939575195,482,297,480,193,431,190,369,185
733.1655025482178,480,296,478,193,434,190,368,185
767.5340175628662,478,296,476,192,387,187,369,186
799.536943435669,477,296,474,193,369,186,425,190
832.0105075836182,476,296,429,300,369,303,387,302
864.0573024749756,475,296,428,300,370,303,386,302
911.5304946899414,474,296,385,303,371,304,384,187
944.7262287139893,473,296,369,303,369,186,470,194
975.0382900238037,385,302,371,303,369,186,385,187
1010.382890701294,385,302,370,303,372,186,385,187
1040.3265953063965,369,304,472,296,369,187,468,194
1071.7966556549072,424,300,472,296,421,190,468,193
1111.7653846740723,424,300,369,304,421,190,369,187
1135.256052017212,474,297,368,187,423,190,470,193
1167.3340797424316,476,297,369,188,421,191,472,193
1199.0056037902832,477,297,421,191,473,193,424,299
1230.9370040893555,477,296,369,188,473,193,369,302
1262.5582218170166,479,298,369,190,474,191,369,302
1311.8038177490234,482,297,369,192,476,191,422,191
1343.0685997009277,482,297,369,191,478,191,424,191
1375.9093284606934,482,297,369,192,478,191,424,191
1407.8764915466309,481,297,369,192,476,190,420,191
1439.1355514526367,474,190,369,192,420,191,0,0
1471.104383468628,473,190,368,193,419,192,422,300
1503.3583641052246,473,190,369,193,423,191,479,296
1534.5995426177979,474,190,369,193,480,297,369,303
1567.063570022583,474,190,369,193,419,192,0,0
1599.5628833770752,474,190,369,193,420,192,480,297
1631.2990188598633,474,190,369,193,419,192,478,296
1662.7583503723145,473,190,369,193,418,192,478,297
1711.1332416534424,471,190,367,193,418,192,477,296
1743.6649799346924,470,190,417,192,420,300,476,296
1775.37202835083,470,190,414,192,476,296,367,193
1807.8868389129639,470,190,417,192,475,296,367,193
1839.0536308288574,470,190,418,192,420,300,366,193
1871.6485500335693,469,190,416,192,419,300,475,296
1917.494297027588,468,190,415,192,418,300,474,296
1934.6928596496582,467,190,414,192,417,300,473,296
1976.1559963226318,466,190,413,192,472,297,361,193
1998.338222503662,466,191,411,192,472,297,361,193
2030.9696197509766,466,191,413,192,472,297,361,193
2062.2174739837646,466,190,411,192,472,297,361,193
2117.7985668182373,412,192,465,191,0,0,0,0
2143.6777114868164,410,192,463,191,360,193,470,297
2175.682306289673,411,192,463,191,359,194,414,300
2206.709623336792,409,192,462,191,359,194,469,297
2239.4092082977295,408,192,462,191,358,194,413,301
2271.5861797332764,410,192,461,191,358,194,469,297
2304.0764331817627,461,191,357,195,361,304,468,297
