t,u,v,r,X,Y,Z
32.19199180603027,361,353,25.06,18.7703125,-53.43958333333333,222
63.02213668823242,362,353,25.07,19.228125000000002,-53.43958333333333,222
97.28050231933594,362,353,25.09,19.228125000000002,-53.43958333333333,222
128.48424911499023,362,353,25.1,19.228125000000002,-53.43958333333333,222
160.85124015808105,362,353,25.08,19.228125000000002,-53.43958333333333,222
192.11602210998535,362,353,25.09,19.228125000000002,-53.43958333333333,222
241.26553535461426,362,352,25.08,19.228125000000002,-52.96666666666667,222
272.9685306549072,362,352,25.0,19.228125000000002,-52.96666666666667,222
304.2304515838623,363,352,25.05,19.6859375,-52.96666666666667,222
337.069034576416,364,351,25.07,20.14375,-52.49375,222
367.40732192993164,365,349,25.06,20.6015625,-51.547916666666666,222
398.70357513427734,367,347,25.01,21.517187500000002,-50.60208333333333,222
432.21187591552734,370,345,24.92,22.890625,-49.65625,222
465.1808738708496,374,342,24.98,24.721875,-48.2375,222
496.6166019439697,379,338,24.95,27.0109375,-46.34583333333333,222
544.9631214141846,384,334,25.01,29.3,-44.454166666666666,222
576.3185024261475,390,329,24.99,32.046875,-42.08958333333333,222
582.5083255767822,390,329,24.99,32.046875,-42.08958333333333,222
607.330322265625,396,323,25.03,34.79375,-39.25208333333333,222
640.1445865631104,402,318,25.02,37.540625,-36.887499999999996,222
705.0509452819824,416,305,25.04,43.95,-30.739583333333332,222
736.9089126586914,422,299,25.07,46.696875,-27.902083333333334,222
769.2193984985352,429,292,25.09,49.901562500000004,-24.591666666666665,222
799.5195388793945,436,286,25.18,53.10625,-21.754166666666666,222
831.7701816558838,441,280,25.3,55.3953125,-18.916666666666664,222
881.5279006958008,446,274,25.5,57.684375,-16.079166666666666,222
913.6505126953125,451,268,25.35,59.9734375,-13.241666666666667,222
921.1816787719727,451,268,25.35,59.9734375,-13.241666666666667,222
942.641019821167,455,263,25.48,61.8046875,-10.877083333333333,222
975.8570194244385,460,259,25.53,64.09375,-8.985416666666666,222
1008.0418586730957,464,255,25.6,65.925,-7.09375,222
1040.7252311706543,469,250,25.7,68.2140625,-4.729166666666666,222
1104.6779155731201,475,245,25.92,70.9609375,-2.364583333333333,222
1135.904312133789,477,244,26.04,71.8765625,-1.8916666666666666,222
1169.193983078003,479,242,26.03,72.7921875,-0.9458333333333333,222
1216.277837753296,480,242,26.04,73.25,-0.9458333333333333,222
1248.7456798553467,480,242,26.05,73.25,-0.9458333333333333,222
1254.5201778411865,480,242,26.05,73.25,-0.9458333333333333,222
1279.6282768249512,480,243,26.1,73.25,-1.41875,222
1312.1027946472168,480,244,26.47,73.25,-1.8916666666666666,222
