t,u,v,r,X,Y,Z
46.53787612915039,186,187,25.76,-51.187939502558336,20.913932051526647,185.2371872172454
78.97448539733887,186,187,25.75,-51.207818314015654,20.922053966886466,185.30912398898028
111.19651794433594,185,187,25.75,-51.58996621188144,20.922053966886466,185.30912398898028
143.88728141784668,185,187,25.68,-51.73059306682037,20.979084487824238,185.81425010577266
175.43840408325195,185,187,25.69,-51.71045659618322,20.97091824240274,185.74192069740138
207.64541625976562,185,186,25.7,-51.69033579595125,21.358282094527297,185.6696475765075
239.4263744354248,185,186,25.76,-51.569939051084894,21.308534543064887,185.2371872172454
270.5721855163574,186,185,25.75,-51.207818314015654,21.71156543733501,185.30912398898028
303.2519817352295,186,185,25.75,-51.207818314015654,21.71156543733501,185.30912398898028
336.46345138549805,185,184,25.74,-51.61000893379748,22.11490948692314,185.38111665564267
384.0794563293457,185,183,25.75,-51.58996621188144,22.501076907783556,185.30912398898028
416.37468338012695,185,183,25.77,-51.54992743329248,22.483613906690984,185.16530627536835
423.0375289916992,185,183,25.77,-51.54992743329248,22.483613906690984,185.16530627536835
446.61688804626465,185,183,25.77,-51.54992743329248,22.483613906690984,185.16530627536835
512.9425525665283,181,184,25.92,-52.77017220046772,21.96133372659728,184.09374778997847
544.792652130127,180,184,26.0,-52.986275838698745,21.893760392053906,183.52730548908625
576.357364654541,180,185,25.98,-53.02706588938288,21.519353734079157,183.66858901910092
607.4182987213135,180,188,26.06,-52.86428134329115,20.283113179789005,183.10475605204306
640.308141708374,180,190,26.04,-52.90488370991426,19.517972699740838,183.24538950523203
687.3977184295654,179,193,26.03,-53.30324549274727,18.353942702849647,183.315787273002
720.3688621520996,179,196,25.96,-53.44697535347501,17.22874607122886,183.8100902433067
727.1864414215088,179,196,25.96,-53.44697535347501,17.22874607122886,183.8100902433067
751.1379718780518,178,199,26.04,-53.660667762913036,16.004737613787487,183.24538950523203
783.6272716522217,178,201,25.94,-53.86753232637839,15.282708060870318,183.95180966523677
816.3719177246094,178,203,25.96,-53.82603191626561,14.487809196260631,183.8100902433067
848.3474254608154,178,205,25.92,-53.909096780333925,13.725833579123302,184.09374778997847
912.7352237701416,178,211,26.32,-53.08980959522247,11.199994121532134,181.2959704679423
944.354772567749,179,214,26.79,-51.79109668444238,9.865209583152323,178.11533940710123
976.2954711914062,179,218,26.76,-51.84915845202584,8.356843198974238,178.315020280876
1024.7862339019775,179,221,26.78,-51.81043615295785,7.211883624289601,178.1818499894041
1055.8807849884033,179,225,26.75,-51.86854131499855,5.699977672163566,178.38168010154175
1061.908483505249,179,225,26.75,-51.86854131499855,5.699977672163566,178.38168010154175
1086.998462677002,179,229,26.7,-51.96567341483937,4.187811310946641,178.71572819161955
1119.9069023132324,180,233,26.69,-51.61645454500439,2.665969324622525,178.78268799985918
1152.416706085205,180,237,26.61,-51.771633664267846,1.1459932561471284,179.3201782305991
1183.1250190734863,180,240,26.65,-51.693927647510975,0.0,179.05102974545
1214.6034240722656,181,243,26.62,-51.38252680075595,-1.1455627552995897,179.25281527859661
1247.8437423706055,181,246,26.73,-51.171076073180814,-2.2816970105555616,178.51514937210032
1312.9620552062988,181,253,26.71,-51.20939211666504,-4.947378598514614,178.6488185217612
1359.1487407684326,179,256,26.76,-51.84915845202584,-6.0777041447085365,178.315020280876
1390.9902572631836,177,260,26.75,-52.60426530528222,-7.599970229551421,178.38168010154175
1396.2221145629883,177,260,26.75,-52.60426530528222,-7.599970229551421,178.38168010154175
