t,u0,v0,u1,v1,u2,v2,u3,v3,X,Y,Z,Roll,Pitch,Yaw
31.281232833862305,298,183,153,181,148,32,297,39,9.381705245386213,-33.55368845990544,-11.46308484180609,-2.128430980782164,0.9204738229673122,-1.523747310993545
62.56222724914551,297,184,154,182,147,33,297,38,9.342240091993293,-33.32620728007962,-11.310880301314208,-2.130818600099742,0.9233956241107206,-1.5234008226447977
95.24774551391602,298,184,154,182,147,34,297,38,9.344772477784742,-33.26926507922015,-11.249048095613961,-2.1337244520761516,0.9218002296206351,-1.523747670558003
128.00216674804688,299,184,154,182,147,33,298,37,9.361050044887227,-33.45431435948116,-11.327233342812843,-2.130129200457546,0.9212909079326689,-1.5257922492656475
159.49153900146484,298,184,155,183,148,34,298,37,9.311899537075082,-33.480555646803545,-11.28605408130948,-2.1259641743326676,0.9258045396325838,-1.5254586100723713
191.76721572875977,299,184,155,184,0,0,0,0,9.311899537075082,-33.480555646803545,-11.28605408130948,-2.1259641743326676,0.9258045396325838,-1.5254586100723713
239.44616317749023,298,184,155,184,147,34,297,39,9.28405219787008,-33.20514860288616,-11.169014749503077,-2.1197939103392223,0.9273913405016618,-1.5237513726235532
270.2183723449707,298,185,155,183,147,34,297,41,9.281262326937226,-33.226345236934065,-11.172977036170831,-2.1238764470097085,0.9215742686294127,-1.523751313981147
304.3098449707031,299,184,155,184,147,35,298,40,9.29625604483243,-33.34297276988397,-11.128711322403728,-2.1177387243572245,0.9215591320565314,-1.52579728151523
335.97660064697266,299,184,155,184,147,37,298,39,9.309779875664914,-33.27874015831573,-11.038215502715424,-2.1243624052372563,0.9206244905993378,-1.5257952962883812
366.89209938049316,296,187,153,185,147,36,296,42,9.403944359006806,-33.573046468954715,-11.239796288011927,-2.094882826352922,0.9258387069503297,-1.5213434368305747
399.5041847229004,296,194,153,194,146,44,294,47,9.450516752894812,-33.676092614850305,-10.820047683562457,-2.0173909299564254,0.9391062828696253,-1.517951552131658
436.77330017089844,297,198,154,200,143,51,292,53,9.403519872803015,-33.09322529828166,-10.199022648388393,-1.9768189342182227,0.9415686417791921,-1.515025993175633
463.91797065734863,296,197,152,197,143,50,293,51,9.521659186607721,-33.40694342537082,-10.396641671341492,-1.995007020595881,0.9323037788531697,-1.5162720015075704
497.1470832824707,295,195,150,193,143,45,294,47,9.625510356659865,-33.71867075335616,-10.797754790248923,-2.0185161610388844,0.9280405637775774,-1.5175824999031762
552.4277687072754,295,198,151,198,143,46,295,51,9.59834767847193,-34.16949109223863,-10.736908113870967,-1.9653359578802045,0.9303095231439988,-1.5192864699240505
573.1673240661621,295,209,150,209,142,56,292,59,9.744517287178748,-34.68672783724594,-10.354700519633031,-1.8574431373838838,0.9350675439076109,-1.514157201452219
607.7642440795898,297,220,153,224,141,71,291,71,9.701694775195092,-35.091322802391836,-9.479300204717,-1.7251590602065043,0.9279919940543161,-1.5131009029326945
640.059232711792,297,228,155,233,141,82,291,81,9.690850889869493,-35.71100890201703,-8.92027575536626,-1.641826666503592,0.9090173979168669,-1.5130161532622546
678.4603595733643,299,233,155,238,143,89,292,89,9.746634228362264,-36.70084863631442,-8.69825754960089,-1.595017258489758,0.8824532351411941,-1.5152658949780464
703.4926414489746,299,238,155,243,145,93,293,92,9.809533780574728,-37.70671155651077,-8.662894706266332,-1.5526365426994269,0.8689290135891606,-1.5168944439895238
735.443115234375,299,245,156,250,146,102,294,99,9.83951255136764,-38.65916151053054,-8.260437490427208,-1.4980252483295486,0.8419867501941934,-1.5185533252536798
767.3003673553467,300,254,157,260,147,112,292,108,9.942392124083415,-39.784541309799536,-7.8854841268552445,-1.4280960081701994,0.8186590421000691,-1.5152303664045013
798.9792823791504,300,260,158,269,145,123,291,117,10.024320404094592,-40.481451782053234,-7.2622623271291715,-1.3714558926820306,0.7865883814783649,-1.513376139383931
832.7560424804688,299,266,157,276,144,131,289,123,10.244008790975544,-41.426621974617234,-6.970194426048497,-1.3325767198322107,0.763274319321285,-1.5095104076537076
880.364179611206,298,270,156,280,144,136,288,128,10.42029216109864,-42.41126318023054,-6.8352956509488125,-1.316164147851626,0.7417506017424277,-1.5074196950359415
910.6276035308838,298,274,156,285,142,142,287,133,10.564784423072018,-43.085705494552855,-6.524350648913438,-1.2920114928938458,0.7203860326151735,-1.505558582447186
953.2108306884766,299,277,157,289,142,147,287,137,10.605409623636143,-43.75081255641812,-6.257575029994221,-1.2739704493421018,0.7028018984183844,-1.5057119930218579
976.7637252807617,299,277,158,289,143,149,287,137,10.542141858925294,-43.52545444040507,-6.123913229119339,-1.2684501634586052,0.7039593010886492,-1.50571699175206
1007.3223114013672,298,276,158,287,143,146,287,136,10.519590303616544,-43.42430258503022,-6.301916290974904,-1.2791513077919605,0.7109909399385942,-1.5055121715627287
1039.7260189056396,298,275,157,286,143,144,287,135,10.54728126944115,-43.400386171013736,-6.437432150993132,-1.2870773384151641,0.714310288713945,-1.5055382194695215
1070.8997249603271,299,277,158,288,143,146,288,136,10.50226887290195,-43.63338790849672,-6.280691023361937,-1.2770349915421875,0.7059477493393369,-1.5074796438286484
1112.9448413848877,300,277,158,289,143,148,288,138,10.523212952807324,-43.84858936405137,-6.163895326986489,-1.274630154365422,0.696975938705696,-1.5076988037105237
1135.4632377624512,300,277,159,288,144,148,288,138,10.465466355930241,-43.75181756433874,-6.165557025205739,-1.27609323032927,0.7002016484018108,-1.5077128828802946
1166.8577194213867,299,277,159,288,144,147,288,137,10.45767113812628,-43.70558918481176,-6.229956272264342,-1.2756743054274335,0.7047582257801545,-1.5074850465633938
1214.4930362701416,301,278,160,289,145,147,289,136,10.373949081672777,-43.71139467411311,-6.197862609360852,-1.2688327852371557,0.7068854389639236,-1.5096971800983543
1253.8392543792725,304,279,162,291,147,149,290,139,10.28175083879898,-44.30941824195074,-6.078902766342007,-1.262559730617916,0.6963166679023289,-1.512109837567472
1268.7106132507324,304,279,162,291,147,149,290,139,10.28175083879898,-44.30941824195074,-6.078902766342007,-1.262559730617916,0.6963166679023289,-1.512109837567472
1321.779727935791,311,280,170,290,155,149,297,139,9.600997624218042,-44.535168326401845,-5.83687283234932,-1.2629565526151003,0.6920353612091803,-1.5259490430613405
1353.844404220581,316,281,175,293,160,151,303,142,9.150905710336493,-45.5946126960201,-5.529523929173629,-1.2585087798293757,0.6699704440883737,-1.5375707142248634
1376.4948844909668,321,282,182,294,165,154,308,143,8.617180285652854,-45.73248732877234,-5.115526668470094,-1.245000459823548,0.666400277642482,-1.547340505295302
1407.5584411621094,326,281,187,293,171,154,313,143,8.169318790854255,-46.14999375284644,-4.9602535667840115,-1.2482818395795658,0.6654026406972406,-1.5571068348615413
1438.8079643249512,331,280,192,291,177,152,319,142,-7.698012937149288,46.71968717797809,4.8923899413527625,-1.8837656098036448,-0.6678308337598663,1.5728689092782568
