t,u0,v0,u1,v1,u2,v2,u3,v3,X,Y,Z,Roll,Pitch,Yaw
31.00442886352539,221,181,221,353,393,351,391,179,-4.544578943576657,164.03243160968145,-8.895055401141388,3.12374695251293,-0.01435132826497539,0.021350317214284046
62.91627883911133,219,180,221,352,392,351,390,179,-4.884021843846424,163.75310777418764,-8.887550174558726,-3.1352615974045266,-0.007165572257818185,0.010883544047786334
111.41109466552734,220,180,220,352,391,352,390,179,-5.054056847400338,163.40149698386392,-8.875704024104708,3.1263859261736124,-0.003777796253867196,-0.016525921287764
143.55778694152832,219,180,219,352,390,351,389,179,-5.311896946338987,163.9003150157649,-8.807027348363919,3.1324405303506864,-0.007160948009436716,0.010690127632311542
175.398588180542,218,181,218,353,389,353,388,179,-5.794495805786735,162.9368399238678,-9.111541981838373,3.1265598103814813,-0.007579243517714437,-0.03292619383009717
207.72075653076172,218,181,216,354,389,354,387,181,-5.885499868079004,163.08372915780888,-9.202300959238132,3.0806114560192013,-0.0,0.0
238.77763748168945,217,182,216,354,388,354,386,182,-6.174177104898008,164.03223639681306,-9.519676414336569,3.095335806777442,-0.0,0.0
271.05045318603516,216,182,216,353,387,353,385,181,-6.529042951688694,164.45023646360852,-9.370315726469638,3.11078471097339,-0.0038698627633635047,-0.016717908454538993
302.1695613861084,215,180,215,351,386,351,384,180,-6.802629120933289,164.91048318569307,-8.78150234684441,3.110429538156003,1.18431126074136e-16,-9.832486551548936e-16
335.3292942047119,214,178,214,349,385,348,383,177,-7.1333031185180324,164.92794854548833,-7.892949653917474,3.1162759970351637,-0.0072434345358778724,0.010530974888496254
368.0236339569092,213,178,214,348,385,348,383,176,-7.393186493544125,164.81437948555254,-7.814222548264933,3.1265779591521206,-0.0074130732791900045,-0.033299129825737475
415.72093963623047,213,178,213,350,384,350,382,178,-7.438488060420618,163.93408486133058,-8.204649732297021,3.1107974018960727,5.921591025314526e-17,-4.945524628097783e-16
453.8559913635254,212,178,212,350,384,350,384,180,-7.302177934999422,164.71697089859404,-8.597811217510259,3.1415926535897927,0.007523797837386622,0.03301134009425586
479.20894622802734,211,177,212,348,383,348,382,177,-7.812302357583989,164.70869846646883,-7.894610336125087,-3.1415926535897927,-1.184256869573135e-16,9.786623322615758e-16
512.0224952697754,210,175,212,346,383,346,382,175,-7.889842127530086,164.57032622724347,-7.27421312537098,-3.1260771750173872,5.921410494753877e-17,-4.883189299123145e-16
542.583703994751,211,174,213,343,384,345,384,174,-7.696522603740908,165.40181492008438,-6.891877458265412,-3.1214936597252314,0.007391576893218049,-0.05362513608438489
575.0174522399902,211,170,213,340,384,339,382,170,-7.616409818206956,166.17098777596792,-5.208154118856315,-3.1360696274834536,-0.0038937393756657253,0.026751782129508808
607.1052551269531,209,165,214,336,385,335,383,164,-7.526532046452508,164.29101637656316,-3.74825459459604,-3.089414432096709,-0.007306140248335051,0.009704373296482223
639.1527652740479,208,162,214,334,385,333,383,161,-7.557709539681093,163.1773934260162,-2.9408655449131773,-3.0748723765180053,-0.007269918526407366,0.00948668676452609
671.9822883605957,209,164,213,336,384,335,384,163,-7.559691527365566,163.15910898817722,-3.635922107954368,-3.074881311485024,-0.007235089793848016,0.009526548262826012
703.7241458892822,208,167,212,336,382,338,383,167,-8.262931821216885,164.93535924064935,-4.674409925520999,-3.07433798502207,0.007986871472897583,-0.05238749248921619
751.4317035675049,207,166,213,334,381,334,382,166,-8.301122851713147,166.168052663234,-4.146627161456238,-3.030658158115249,-5.922977455742822e-17,4.838210802571347e-16
788.8016700744629,205,163,214,330,382,329,382,161,-8.354291944093198,165.91258875467238,-2.7942969943618454,-2.9925710515954513,-0.01045662212537592,-0.006279007738529515
822.16477394104,204,163,215,329,380,329,382,163,-8.41555114933816,165.45185817345717,-3.223470448038981,-2.9363409525371513,1.1857074820947067e-16,-4.864117439457294e-16
846.7550277709961,205,162,215,327,380,329,382,164,-8.453512063739947,167.3696237553052,-3.0192044922745014,-2.959730485998103,0.014867859922289941,-0.02110443630822525
878.4036636352539,203,160,217,326,380,326,383,162,-7.988440942941357,164.00014809995974,-2.6469630598257297,-2.8784598258731604,0.0057870617732670585,0.032702003920963126
910.5048179626465,205,161,218,324,381,326,385,161,-7.917593812894147,165.42987553326742,-2.517474074554924,-2.882391809814993,0.00892990466971755,-0.05431249776751981
945.1143741607666,205,160,219,324,383,326,387,162,-7.291331460946545,164.8530089530741,-2.5741790245129934,-2.870296053863515,0.014678504745723403,-0.02167202360728293
974.7445583343506,205,161,221,324,385,326,389,163,-6.746718705123061,164.2782085821009,-2.8851029613887036,-2.8405101960442827,0.014641021694220657,-0.022282716175503193
1006.5538883209229,206,162,223,324,385,326,392,164,-6.146836347067695,161.7061372321404,-3.321168142491972,-2.7868942527441445,0.014401855479110456,-0.023122882248968496
1037.168264389038,207,163,225,322,388,324,394,165,-5.565534298583738,164.56024632377645,-3.155431362312732,-2.775416753950157,0.014650235541375158,-0.023473878936438087
1089.4818305969238,208,163,227,322,390,322,397,165,-4.623225624193549,162.8901985846119,-3.061341728684103,-2.7383447720115366,0.005581951106008824,0.032503697623784425
1118.4170246124268,208,165,230,323,392,325,399,165,-4.304534830721861,159.5861569017665,-3.7701459441695224,-2.716380578879931,0.008744186271746062,-0.05643138501579759
1139.326810836792,208,165,230,323,392,325,399,165,-4.304534830721861,159.5861569017665,-3.7701459441695224,-2.716380578879931,0.008744186271746062,-0.05643138501579759
1156.2669277191162,210,172,230,328,393,331,403,174,-3.7376262881430007,160.53157280807991,-6.1202034698467624,-2.706182705849638,0.018177073046447147,-0.055038868930952875
1214.909553527832,211,184,232,330,393,335,406,188,-3.432449643650357,164.12459342548328,-9.198027112766056,-2.6377336743612942,0.03171536033838569,-0.09279647564700615
1248.173475265503,210,182,233,323,393,326,406,187,-3.0946419910268883,166.47105774292822,-7.665520880060857,-2.573987427547257,0.027908975248084326,-0.011966980430078253
1278.4979343414307,209,179,234,316,395,318,407,180,-3.0827782307655367,167.68967728889993,-5.490586332384578,-2.536148126937325,0.011639838139974868,-0.04842339560589702
1311.2409114837646,208,175,237,309,395,311,408,176,-2.7034549136588923,163.20265499697064,-3.711359044825974,-2.4744015199050255,0.011864989835185993,-0.04930164605509637
1343.8401222229004,411,177,397,306,0,0,0,0,-2.7034549136588923,163.20265499697064,-3.711359044825974,-2.4744015199050255,0.011864989835185993,-0.04930164605509637
1391.772747039795,414,179,398,304,208,177,238,300,27.914673462702055,-1.6272354018007533,4.56462351996298,2.0265166682792315,-0.04804152549191844,-1.5655608898011548
1424.2024421691895,417,176,399,298,203,175,238,295,30.13362644307751,-4.390490790354626,4.919776654775742,1.9880584826242353,-0.02384269202174376,-1.563634862624157
1444.0431594848633,417,176,399,298,203,175,238,295,30.13362644307751,-4.390490790354626,4.919776654775742,1.9880584826242353,-0.02384269202174376,-1.563634862624157
1466.9902324676514,417,173,399,284,198,171,238,282,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1490.612268447876,416,176,397,265,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1520.660638809204,413,168,394,250,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1552.1786212921143,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1615.2071952819824,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1648.4575271606445,390,146,380,227,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1679.286003112793,382,165,374,236,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1727.494239807129,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1758.1923007965088,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1775.9103775024414,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1792.6909923553467,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1823.072910308838,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1855.3602695465088,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1891.2854194641113,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1919.6085929870605,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
1951.6358375549316,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
2014.6589279174805,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
2063.577651977539,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
2095.1740741729736,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
2112.0731830596924,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
2129.866123199463,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
2158.5681438446045,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
2191.7495727539062,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
2222.5680351257324,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
2255.183458328247,387,310,386,288,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
2291.8057441711426,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
2319.463014602661,0,0,0,0,0,0,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
2367.8455352783203,152,299,157,292,405,290,0,0,32.93460053687832,-10.615719091891506,4.695281345923565,1.9308156765731044,0.03262804803213128,-1.557254646127086
